character_x,character_y,enemy_x,enemy_y,enemy_action,distance
408.758,300.003,428.873,300.008,Moving,20.1144
408.747,300.003,428.86,300.008,Moving,20.1124
408.728,300.003,428.837,300.008,Moving,20.109
408.716,300.003,428.823,300.008,Moving,20.1068
408.693,300.003,428.796,300.008,Moving,20.1027
408.674,300.003,428.774,300.008,Moving,20.0992
408.648,300.003,428.743,300.008,Moving,20.0944
408.635,300.003,428.727,300.008,Moving,20.092
408.619,300.003,428.708,300.008,Moving,20.0889
408.606,300.003,428.693,300.008,Moving,20.0865
408.593,300.003,428.677,300.008,Moving,20.084
408.583,300.003,428.665,300.008,Moving,20.0821
408.57,300.003,428.65,300.008,Moving,20.0797
408.559,300.003,428.637,300.008,Moving,20.0776
408.547,300.003,428.622,300.008,Moving,20.0752
408.536,300.003,428.609,300.008,Moving,20.073
408.524,300.003,428.595,300.008,Moving,20.0707
408.513,300.003,428.581,300.008,Moving,20.0685
408.493,300.003,428.558,300.008,Moving,20.0646
408.448,300.003,428.504,300.008,Moving,20.0557
408.425,300.003,428.476,300.008,Moving,20.051
408.383,300.003,428.426,300.008,Moving,20.0425
400.007,300,425.774,300.008,Moving,25.7664
400.008,300,425.75,300.008,Moving,25.7422
400.008,300,425.735,300.008,Moving,25.7273
400.009,300,425.712,300.008,Moving,25.7034
400.009,300,425.698,300.008,Moving,25.689
400.009,300,425.672,300.008,Moving,25.6625
400.01,300.001,425.658,300.008,Moving,25.6484
400.01,300.001,425.633,300.008,Moving,25.623
400.01,300.001,425.618,300.008,Moving,25.6081
400.011,300.001,425.604,300.008,Moving,25.5932
400.011,300.001,425.581,300.008,Moving,25.5698
400.011,300.001,425.566,300.008,Moving,25.5549
400.012,300.001,425.551,300.008,Moving,25.5396
400.012,300.001,425.527,300.008,Moving,25.5148
400.014,300.001,425.466,300.008,Moving,25.4523
400.014,300.001,425.443,300.008,Moving,25.4283
400.015,300.001,425.405,300.008,Moving,25.3895
400.016,300.001,425.39,300.008,Moving,25.3745
400.016,300.001,425.363,300.008,Moving,25.347
400.017,300.001,425.348,300.008,Moving,25.3318
400.017,300.001,425.313,300.008,Moving,25.2958
400.018,300.001,425.3,300.008,Moving,25.2823
400.019,300.001,425.268,300.008,Moving,25.2497
400.019,300.001,425.254,300.008,Moving,25.2347
400.019,300.001,425.239,300.008,Moving,25.2196
400.02,300.001,425.214,300.008,Moving,25.1939
400.021,300.001,425.199,300.008,Moving,25.1788
400.021,300.001,425.183,300.008,Moving,25.1618
400.022,300.001,425.163,300.008,Moving,25.1412
400.022,300.001,425.143,300.008,Moving,25.1204
400.023,300.001,425.106,300.008,Moving,25.0831
400.024,300.001,425.073,300.008,Moving,25.0489
400.025,300.002,425.053,300.008,Moving,25.0282
400.026,300.002,425.011,300.008,Moving,24.9848
400.027,300.002,424.982,300.008,Moving,24.9551
400.028,300.002,424.969,300.008,Moving,24.9407
400.029,300.002,424.938,300.008,Moving,24.9091
400.029,300.002,424.923,300.008,Moving,24.8939
400.03,300.002,424.894,300.008,Moving,24.8639
400.031,300.002,424.88,300.008,Moving,24.8496
400.032,300.002,424.856,300.008,Moving,24.8244
400.032,300.002,424.842,300.008,Moving,24.8103
400.033,300.002,424.809,300.008,Moving,24.7757
400.034,300.002,424.795,300.008,Moving,24.7608
400.035,300.002,424.764,300.008,Moving,24.7287
400.036,300.002,424.749,300.008,Moving,24.7136
400.037,300.002,424.716,300.008,Moving,24.6797
400.037,300.002,424.702,300.008,Moving,24.6642
400.039,300.002,424.667,300.008,Moving,24.6278
400.039,300.002,424.651,300.008,Moving,24.6115
400.04,300.003,424.625,300.008,Moving,24.5845
400.041,300.003,424.61,300.008,Moving,24.5691
400.042,300.003,424.586,300.008,Moving,24.5443
400.043,300.003,424.572,300.008,Moving,24.529
400.044,300.003,424.543,300.008,Moving,24.4994
400.044,300.003,424.528,300.008,Moving,24.4839
400.045,300.003,424.514,300.008,Moving,24.4686
400.046,300.003,424.49,300.008,Moving,24.4438
400.047,300.003,424.474,300.008,Moving,24.4278
400.047,300.003,424.46,300.008,Moving,24.4126
400.048,300.003,424.432,300.008,Moving,24.384
400.049,300.003,424.415,300.008,Moving,24.3663
400.05,300.003,424.402,300.008,Moving,24.3519
400.051,300.003,424.374,300.008,Moving,24.3231
400.052,300.003,424.353,300.008,Moving,24.3005
400.053,300.003,424.322,300.008,Moving,24.2689
400.055,300.003,424.297,300.008,Moving,24.2428
400.056,300.003,424.274,300.008,Moving,24.2178
