character_x,character_y,enemy_x,enemy_y,enemy_action,distance
700,400,760,560,Moving,170.88
700,400,760,559.999,Moving,170.879
700.003,400,759.868,559.648,Moving,170.503
700.009,400,759.761,559.363,Moving,170.197
700.013,400,759.711,559.229,Moving,170.052
700.014,400,759.7,559.201,Moving,170.022
700.016,400,759.669,559.118,Moving,169.933
700.018,400,759.65,559.067,Moving,169.877
700.021,400,759.619,558.983,Moving,169.787
700.021,400,759.613,558.967,Moving,169.769
700.024,400,759.587,558.898,Moving,169.695
700.025,400,759.58,558.881,Moving,169.676
700.026,400,759.57,558.853,Moving,169.646
700.026,400,759.564,558.836,Moving,169.628
700.027,400,759.553,558.807,Moving,169.597
700.029,400,759.543,558.78,Moving,169.567
700.032,400,759.513,558.702,Moving,169.483
700.033,400,759.506,558.682,Moving,169.461
700.036,400,759.479,558.61,Moving,169.383
700.036,400,759.473,558.594,Moving,169.366
700.04,400,759.446,558.522,Moving,169.288
700.041,400,759.438,558.501,Moving,169.265
700.051,400,759.353,558.274,Moving,169.019
700.055,400,759.329,558.21,Moving,168.949
700.065,400,759.257,558.018,Moving,168.74
700.073,400,759.206,557.881,Moving,168.592
700.078,400,759.175,557.799,Moving,168.503
700.086,400,759.129,557.677,Moving,168.369
700.1,400,759.049,557.464,Moving,168.136
700.102,400,759.04,557.439,Moving,168.109
700.141,400,758.832,556.884,Moving,167.503
700.145,400,758.814,556.836,Moving,167.451
700.206,400,758.547,556.122,Moving,166.666
700.223,400,758.483,555.951,Moving,166.478
700.253,400,758.377,555.666,Moving,166.163
700.263,400,758.346,555.584,Moving,166.073
700.265,400,758.338,555.563,Moving,166.049
700.274,400,758.309,555.484,Moving,165.962
700.278,400,758.296,555.451,Moving,165.925
700.28,400,758.29,555.433,Moving,165.905
700.282,400,758.281,555.411,Moving,165.881
700.31,400,758.193,555.175,Moving,165.62
700.321,400,758.161,555.088,Moving,165.522
700.334,400,758.12,554.98,Moving,165.402
700.349,400,758.079,554.869,Moving,165.278
700.351,400,758.073,554.853,Moving,165.261
700.362,400,758.042,554.77,Moving,165.168
700.365,400,758.033,554.746,Moving,165.142
700.387,400,757.97,554.576,Moving,164.953
700.389,400,757.965,554.563,Moving,164.938
700.392,400,757.956,554.538,Moving,164.91
700.413,400,757.901,554.392,Moving,164.747
